Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,..,..,..,8.44416322679218,1.05555578746555,11.1752702416587,5.55413762257501,13.7402049898513,3.61136839226165,21.0206487363678,8.43329048161792,6.11368516942299,14.4347412879524
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,7.30000002331434,6.99999998459371,2.90000000002482,5.70000000195414,5.90000001342065,5.49991193261015,5.00001021452547,5.90010389630604,7.53629898272825,3.35423931223828,3.70690567185497,2.54535948879222,1.62369860075293
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,2.20000070353935,4.6125237416927,5.59999999999985,7.19999999999985,4.29999999999995,5.90000000786218,1.69999999833333,3.39999999839098,2,1.59997965389933,3.60016906640861,2.80001825165273,3.2999913838345
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,ADO,1.1657870643787,11.7702727457095,5.87430230796831,6.75438545079258,6.4848101160425,5.91786270005092,6.78993514743607,1.42807150014745,3.5707371859081,..,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,3.01207616575125,4.22096515556314,13.8217925122883,5.24756962371438,10.8794650593878,18.2614736843587,20.7351248827892,22.5930542991417,13.8171458087553,2.41286969254453,3.40765479391563,3.91859698579799,5.15544054479086
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,5.04176929743556,-3.19424189288978,2.92425143016095,5.91363142470426,5.28642014860594,6.08322843204205,13.3764001850193,9.49894448015539,0.07111102052761,-12.0360150576178,-7.14299133491195,-1.79343560355176,4.01954183888284
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,-0.788998929008557,-4.40883969595698,-10.8944848114851,8.83704077566954,9.02957332125899,9.19848898286102,8.36392440358115,8.00289098766326,3.10211325487263,0.0505127823138736,9.13624201460897,8.55491274892566,0.946197195111154
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,5.89999999999978,9.55664149553445,13.186300532067,14.0407950559649,10.4678418639969,13.8657112498155,13.1980035154758,13.7492019586216,6.90000000168239,-14.149988640087,2.1999999991457,4.69999999861844,7.20000000328227
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,-0.364695778713454,-2.16445940890385,0.465289865491144,7.51947237328494,1.17669048367502,0.380390971382511,2.35511944298051,-3.65462624193272,-6.88130206359888,-5.65350208612952,..,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Australia,AUS,3.87201507119738,1.92866858967558,3.86309558738627,3.07924890056115,4.15658491348331,3.21646733498162,2.9906675777887,3.76014410133084,3.70229295461645,1.73181791536285,1.96236610119051,2.32147890195451,3.72781842816534
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Austria,AUT,3.36840321968521,1.3505196035259,1.65584991126875,0.756158208328443,2.70574578583671,2.14068273200179,3.35083069097276,3.62150877391298,1.54726417692326,-3.7990762295855,1.88009468112263,3.07142722522028,0.883845320080638
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Azerbaijan,AZE,11.0999992535406,9.89999999999999,10.5999992015725,11.2000002371477,10.2000003982988,26.4000008082431,34.4999995102935,25.0489995231791,10.7724207826314,9.41065376397619,4.85433932383958,0.0659227678492726,2.20000018843571
